---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 66-3s 4.735e+02  [-149 3.202e-08 5.282e-09 2.787e-04]  [944 -1 49]
 ST 67-1  4.770e+02  [0 1.000e+00 1.696e-01 9.962e-06]  [1252 -2 29]
 ST 67-2  4.808e+02  [-73 2.207e-04 3.743e-05 9.949e-06]  [1610 -1 35]
 ST 67-3s 4.823e+02  [-148 3.581e-08 6.073e-09 2.426e-04]  [1014 -2 49]
 ST 68-1  4.858e+02  [0 1.000e+00 1.546e-01 9.982e-06]  [1365 -2 28]
 ST 68-2  4.877e+02  [-73 2.157e-04 3.335e-05 9.986e-06]  [1603 -1 66]
 ST 68-3s 4.892e+02  [-148 3.590e-08 5.550e-09 2.643e-04]  [999 -1 50]
 ST 69-1  4.925e+02  [0 1.000e+00 1.581e-01 9.957e-06]  [1360 -2 29]
 ST 69-2  4.942e+02  [-73 2.038e-04 3.222e-05 9.981e-06]  [1597 -1 64]
 ST 69-3s 4.956e+02  [-149 3.340e-08 5.281e-09 2.781e-04]  [967 -3 51]
 ST 70-1  4.991e+02  [0 1.000e+00 1.482e-01 9.981e-06]  [1303 -1 26]
 ST 70-2  5.009e+02  [-74 1.876e-04 2.780e-05 9.977e-06]  [1586 0 63]
 ST 70-3s 5.022e+02  [-150 2.950e-08 4.371e-09 3.368e-04]  [955 -2 50]
 ST 71-1  5.054e+02  [0 1.000e+00 1.460e-01 9.950e-06]  [1233 0 26]
 ST 71-2  5.070e+02  [-75 1.762e-04 2.572e-05 9.962e-06]  [1578 -2 63]
 ST 71-3s 5.083e+02  [-152 2.426e-08 3.542e-09 4.162e-04]  [981 0 51]
 ST 72-1  5.131e+02  [0 1.000e+00 1.449e-01 9.972e-06]  [1235 -1 52]
 ST 72-2  5.149e+02  [-75 1.645e-04 2.383e-05 9.991e-06]  [1655 -1 64]
 ST 72-3s 5.161e+02  [-152 2.509e-08 3.634e-09 4.053e-04]  [927 0 49]
 ST 73-1  5.195e+02  [0 1.000e+00 1.349e-01 9.973e-06]  [1354 -1 27]
 ST 73-2  5.212e+02  [-75 1.615e-04 2.179e-05 9.978e-06]  [1620 -2 62]
 ST 73-3s 5.224e+02  [-151 2.634e-08 3.553e-09 4.152e-04]  [865 -3 50]
 ST 74-1  5.255e+02  [0 1.000e+00 1.411e-01 9.968e-06]  [1404 -1 28]
 ST 74-2  5.272e+02  [-76 1.569e-04 2.214e-05 9.974e-06]  [1594 -1 63]
 ST 74-3s 5.284e+02  [-151 2.573e-08 3.630e-09 4.049e-04]  [851 -2 48]
 ST 75-1  5.316e+02  [0 1.000e+00 1.259e-01 9.979e-06]  [1406 -1 28]
