CaseNum,Radius,Height,Thickness
370.000,2.500,7.414,0.600
371.000,2.500,7.655,0.600
372.000,2.500,7.897,0.600
373.000,2.500,8.138,0.600
374.000,2.500,8.379,0.600
375.000,2.500,8.621,0.600
376.000,2.500,8.862,0.600
377.000,2.500,9.103,0.600
378.000,2.500,9.345,0.600
379.000,2.500,9.586,0.600
380.000,2.500,9.828,0.600
381.000,2.500,10.069,0.600
382.000,2.500,10.310,0.600
383.000,2.500,10.552,0.600
384.000,2.500,10.793,0.600
385.000,2.500,11.034,0.600
386.000,2.500,11.276,0.600
387.000,2.500,11.517,0.600
388.000,2.500,11.759,0.600
389.000,2.500,12.000,0.600
390.000,2.500,5.000,0.850
391.000,2.500,5.241,0.850
392.000,2.500,5.483,0.850
393.000,2.500,5.724,0.850
394.000,2.500,5.966,0.850
395.000,2.500,6.207,0.850
396.000,2.500,6.448,0.850
397.000,2.500,6.690,0.850
398.000,2.500,6.931,0.850
399.000,2.500,7.172,0.850
400.000,2.500,7.414,0.850
401.000,2.500,7.655,0.850
402.000,2.500,7.897,0.850
403.000,2.500,8.138,0.850
404.000,2.500,8.379,0.850
405.000,2.500,8.621,0.850
406.000,2.500,8.862,0.850
407.000,2.500,9.103,0.850
408.000,2.500,9.345,0.850
409.000,2.500,9.586,0.850
410.000,2.500,9.828,0.850
411.000,2.500,10.069,0.850
412.000,2.500,10.310,0.850
413.000,2.500,10.552,0.850
414.000,2.500,10.793,0.850
415.000,2.500,11.034,0.850
416.000,2.500,11.276,0.850
417.000,2.500,11.517,0.850
418.000,2.500,11.759,0.850
419.000,2.500,12.000,0.850
420.000,2.500,5.000,1.100
421.000,2.500,5.241,1.100
422.000,2.500,5.483,1.100
423.000,2.500,5.724,1.100
424.000,2.500,5.966,1.100
425.000,2.500,6.207,1.100
426.000,2.500,6.448,1.100
427.000,2.500,6.690,1.100
428.000,2.500,6.931,1.100
429.000,2.500,7.172,1.100
430.000,2.500,7.414,1.100
431.000,2.500,7.655,1.100
432.000,2.500,7.897,1.100
433.000,2.500,8.138,1.100
434.000,2.500,8.379,1.100
435.000,2.500,8.621,1.100
436.000,2.500,8.862,1.100
437.000,2.500,9.103,1.100
438.000,2.500,9.345,1.100
439.000,2.500,9.586,1.100
440.000,2.500,9.828,1.100
441.000,2.500,10.069,1.100
442.000,2.500,10.310,1.100
443.000,2.500,10.552,1.100
444.000,2.500,10.793,1.100
445.000,2.500,11.034,1.100
446.000,2.500,11.276,1.100
447.000,2.500,11.517,1.100
448.000,2.500,11.759,1.100
449.000,2.500,12.000,1.100
450.000,2.950,5.000,0.600
451.000,2.950,5.241,0.600
452.000,2.950,5.483,0.600
453.000,2.950,5.724,0.600
454.000,2.950,5.966,0.600
455.000,2.950,6.207,0.600
456.000,2.950,6.448,0.600
457.000,2.950,6.690,0.600
458.000,2.950,6.931,0.600
459.000,2.950,7.172,0.600
460.000,2.950,7.414,0.600
461.000,2.950,7.655,0.600
462.000,2.950,7.897,0.600
463.000,2.950,8.138,0.600
464.000,2.950,8.379,0.600
465.000,2.950,8.621,0.600
466.000,2.950,8.862,0.600
467.000,2.950,9.103,0.600
468.000,2.950,9.345,0.600
469.000,2.950,9.586,0.600
470.000,2.950,9.828,0.600
471.000,2.950,10.069,0.600
472.000,2.950,10.310,0.600
473.000,2.950,10.552,0.600
474.000,2.950,10.793,0.600
475.000,2.950,11.034,0.600
476.000,2.950,11.276,0.600
477.000,2.950,11.517,0.600
478.000,2.950,11.759,0.600
479.000,2.950,12.000,0.600
480.000,2.950,5.000,0.850
481.000,2.950,5.241,0.850
482.000,2.950,5.483,0.850
483.000,2.950,5.724,0.850
484.000,2.950,5.966,0.850
485.000,2.950,6.207,0.850
486.000,2.950,6.448,0.850
487.000,2.950,6.690,0.850
488.000,2.950,6.931,0.850
489.000,2.950,7.172,0.850
490.000,2.950,7.414,0.850
491.000,2.950,7.655,0.850
492.000,2.950,7.897,0.850
493.000,2.950,8.138,0.850
494.000,2.950,8.379,0.850
495.000,2.950,8.621,0.850
496.000,2.950,8.862,0.850
497.000,2.950,9.103,0.850
498.000,2.950,9.345,0.850
499.000,2.950,9.586,0.850
500.000,2.950,9.828,0.850
501.000,2.950,10.069,0.850
